W,L,yearID,nameGiven,NameLast,teamID
93,59,1942,Joseph Edward,Cronin,BOS
93,60,1904,Frank Gibson,Selee,CHN
93,60,1906,Fred Clifford,Clarke,PIT
93,60,1934,William Harold,Terry,NY1
93,61,1915,Clarence Henry,Rowland,CHA
93,61,1920,Wilbert,Robinson,BRO
93,61,1922,John Joseph,McGraw,NY1
93,61,1922,Leo Alexander,Fohl,SLA
93,61,1928,John Joseph,McGraw,NY1
93,61,1932,Walter Perry,Johnson,WS1
93,61,1937,Charles John,Grimm,CHN
93,61,1951,Alfonso Ramon,Lopez,CLE
93,61,1952,Alfonso Ramon,Lopez,CLE
93,61,1955,Alfonso Ramon,Lopez,CLE
93,61,1956,Walter Emmons,Alston,BRO
93,61,1961,Frederick Charles,Hutchinson,CIN
93,62,1972,Richard Hirschfeld,Williams,OAK
93,68,1962,Daniel Edward,Murtaugh,PIT
93,68,1966,Herman Louis,Franks,SFN
93,69,1963,John Joseph,Keane,SLN
93,69,1964,John Joseph,Keane,SLN
93,69,1969,Chalmer Luman,Harris,ATL
93,69,1970,Ralph George,Houk,NYA
93,69,1978,George Irvin,Bamberger,ML4
93,69,1982,Gene William,Mauch,CAL
93,69,1989,Donald William,Zimmer,CHN
93,69,1991,Thomas Charles,Lasorda,LAN
93,69,2001,Lawrence Edward,Dierker,HOU
93,69,2001,Anthony,LaRussa,SLN
93,69,2002,William Grady,Little,BOS
93,69,2002,Louis Victor,Piniella,SEA
93,69,2003,Robert Paul,Melvin,SEA
93,69,2004,James Edwin,Tracy,LAN
93,69,2005,Eric Michael,Wedge,CLE
93,69,2006,Kenneth Edward,Macha,OAK
93,69,2009,Charles Fuqua,Manuel,PHI
93,69,2012,William Nathaniel,Showalter,BAL
93,69,2012,Ronald,Washington,TEX
93,69,2013,James Richard,Leyland,DET
93,69,2015,John Michael,Gibbons,TOR
93,69,2016,John Edward,Farrell,BOS
93,70,1980,William Charles,Virdon,HOU
92,56,1905,Cornelius Alexander,Mack,PHA
92,58,1907,Hugh Ambrose,Jennings,DET
92,59,1904,Clark Calvin,Griffith,NYA
92,60,1898,William,Ewing,CIN
92,60,1905,Fielder Allison,Jones,CHA
92,60,1947,Burton Edwin,Shotton,BRO
92,61,1909,John Joseph,McGraw,NY1
92,61,1927,Robert Arthur,O'Farrell,SLN
92,61,1939,Francis Raymond,Blades,SLN
92,62,1911,Frank Leroy,Chance,CHN
92,62,1924,Wilbert,Robinson,BRO
92,62,1924,Stanley Raymond,Harris,WS1
92,62,1930,Charles Evard,Street,SLN
92,62,1931,Walter Perry,Johnson,WS1
92,62,1936,William Harold,Terry,NY1
92,62,1946,Stephen Francis,O'Neill,DET
92,62,1950,Louis,Boudreau,CLE
92,62,1952,Leo Ernest,Durocher,NY1
92,62,1953,Alfonso Ramon,Lopez,CLE
92,62,1953,Charles John,Grimm,ML1
92,62,1954,Walter Emmons,Alston,BRO
92,62,1958,Fred Girard,Haney,ML1
92,62,1958,Charles Dillon,Stengel,NYA
92,69,1975,Daniel Edward,Murtaugh,PIT
92,69,1978,George Lee,Anderson,CIN
92,70,1964,Gene William,Mauch,PHI
92,70,1966,Harry William,Walker,PIT
92,70,1967,Richard Hirschfeld,Williams,BOS
92,70,1969,Leo Ernest,Durocher,CHN
92,70,1976,Daniel Edward,Murtaugh,PIT
92,70,1978,Dorrel Norman Elvert,Herzog,KCA
92,70,1982,Dorrel Norman Elvert,Herzog,SLN
92,70,1983,George Lee,Anderson,DET
92,70,1984,Richard Hirschfeld,Williams,SDN
92,70,1986,Gene William,Mauch,CAL
92,70,1987,David Allen,Johnson,NYN
92,70,1989,John David,Wathan,KCA
92,70,1989,Roger Lee,Craig,SFN
92,70,1992,Philip Mason,Garner,ML4
92,70,1996,Joseph Paul,Torre,NYA
92,70,1997,James Richard,Leyland,FLO
92,70,1998,James Francis,Williams,BOS
92,70,2001,Robert Earl,Brenly,ARI
92,70,2002,James Edwin,Tracy,LAN
92,70,2004,Michael Lorri,Scioscia,ANA
92,70,2004,Ronald Clyde,Gardenhire,MIN
92,70,2008,Charles Fuqua,Manuel,PHI
92,70,2010,Bruce Douglas,Bochy,SFN
92,70,2013,Terry Jon,Francona,CLE
92,70,2013,Donald Arthur,Mattingly,LAN
92,70,2015,Donald Arthur,Mattingly,LAN
92,71,1980,Thomas Charles,Lasorda,LAN
92,71,2013,Joseph John,Maddon,TBA
91,59,1912,Frank Leroy,Chance,CHN
91,59,1933,Joseph Vincent,McCarthy,NYA
91,61,1912,Clark Calvin,Griffith,WS1
91,61,1933,William Harold,Terry,NY1
91,62,1914,William Francis,Carrigan,BOS
91,62,1916,Patrick Joseph,Moran,PHI
91,62,1935,William Harold,Terry,NY1
91,62,1948,William Harold,Southworth,BSN
91,63,1907,Fred Clifford,Clarke,PIT
91,63,1910,John Joseph,McGraw,NY1
91,63,1916,William Francis,Carrigan,BOS
91,63,1923,Patrick Joseph,Moran,CIN
91,63,1926,Miller James,Huggins,NYA
91,63,1927,Cornelius Alexander,Mack,PHA
91,63,1928,Joseph Vincent,McCarthy,CHN
91,63,1950,Edwin Milby,Sawyer,PHI
91,63,1955,Martin Whiteford,Marion,CHA
91,63,1956,George Robert,Tebbetts,CIN
91,69,1979,Donald William,Zimmer,BOS
91,70,1963,Sabath Anthony,Mele,MIN
91,70,2000,Arthur Henry,Howe,OAK
91,71,1962,Sabath Anthony,Mele,MIN
91,71,1967,Edward Mayo,Smith,DET
91,71,1967,Herman Louis,Franks,SFN
91,71,1971,Alfred Manuel,Martin,DET
91,71,1974,Earl Sidney,Weaver,BAL
91,71,1980,George Dallas,Green,PHI
91,71,1983,Thomas Charles,Lasorda,LAN
91,71,1983,Alfred Manuel,Martin,NYA
91,71,1985,Richard Dalton,Howser,KCA
91,71,1987,Thomas Lynn,Trebelhorn,ML4
91,71,1987,Robert Leroy,Rodgers,MON
91,71,1988,Jay Thomas,Kelly,MIN
91,71,1989,Douglas Lee,Rader,CAL
91,71,1990,Louis Victor,Piniella,CIN
91,71,1996,Bruce Douglas,Bochy,SDN
91,71,2000,Louis Victor,Piniella,SEA
91,71,2001,Charles Fuqua,Manuel,CLE
91,71,2004,Kenneth Edward,Macha,OAK
91,71,2004,Felipe Rojas,Alou,SFN
91,71,2009,Anthony,LaRussa,SLN
91,71,2010,Robert Joe,Cox,ATL
91,71,2010,Johnnie B.,Baker,CIN
91,71,2011,Joseph John,Maddon,TBA
91,71,2016,David Ray,Roberts,LAN
91,72,2013,Ronald,Washington,TEX
90,61,1906,Clark Calvin,Griffith,NYA
90,62,1912,Cornelius Alexander,Mack,PHA
90,62,1915,Patrick Joseph,Moran,PHI
90,62,1917,John Joseph,Barry,BOS
90,63,1908,Hugh Ambrose,Jennings,DET
90,63,1921,George C.,Gibson,PIT
90,63,1924,William Boyd,McKechnie,PIT
90,63,1944,Frank Francis,Frisch,PIT
90,64,1908,Napoleon,Lajoie,CLE
90,64,1913,Clark Calvin,Griffith,WS1
90,64,1940,Delmer David,Baker,DET
90,64,1957,Alfonso Ramon,Lopez,CHA
90,68,1976,Walter Emmons,Alston,LAN
90,69,1975,Earl Sidney,Weaver,BAL
90,71,1978,Earl Sidney,Weaver,BAL
90,71,1979,John Francis,McNamara,CIN
90,72,1964,Alvin Ralph,Dark,SFN
90,72,1965,Harry William,Walker,PIT
90,72,1969,Edward Mayo,Smith,DET
90,72,1969,Clyde Edward,King,SFN
90,72,1971,Charles Francis,Fox,SFN
90,72,1971,Albert Fred,Schoendienst,SLN
90,72,1974,Alvin Ralph,Dark,OAK
90,72,1976,Dorrel Norman Elvert,Herzog,KCA
90,72,1977,Robert Granville,Lemon,CHA
90,72,1978,Daniel Leonard,Ozark,PHI
90,72,1980,Richard Hirschfeld,Williams,MON
90,72,1982,Richard Dalton,Howser,KCA
90,72,1984,David Allen,Johnson,NYN
90,72,1985,Gene William,Mauch,CAL
90,72,1986,Louis Victor,Piniella,NYA
90,72,1987,Roger Lee,Craig,SFN
90,72,1992,Louis Victor,Piniella,CIN
90,72,1992,Jay Thomas,Kelly,MIN
90,72,1996,Johnny Lane,Oates,TEX
90,72,1997,Louis Victor,Piniella,SEA
90,72,1997,Johnnie B.,Baker,SFN
90,72,2000,Charles Fuqua,Manuel,CLE
90,72,2001,Johnnie B.,Baker,SFN
90,72,2003,Ronald Clyde,Gardenhire,MIN
90,72,2005,Robert Joe,Cox,ATL
90,72,2006,Oswaldo Jose,Guillen,CHA
90,72,2007,Robert Paul,Melvin,ARI
90,72,2010,Harry Ralston,Black,SDN
90,72,2010,Ronald,Washington,TEX
90,72,2011,Terry Jon,Francona,BOS
90,72,2011,Anthony,LaRussa,SLN
90,72,2012,Joseph John,Maddon,TBA
90,72,2013,Johnnie B.,Baker,CIN
90,72,2014,Bradley David,Ausmus,DET
90,72,2014,Michael Scott,Matheny,SLN
90,72,2015,Terry Lee,Collins,NYN
90,73,1998,James David,Riggleman,CHN
90,73,2007,Clinton Merrick,Hurdle,COL
89,62,1939,Joseph Edward,Cronin,BOS
89,63,1916,George Tweedy,Stallings,BSN
89,63,1924,Miller James,Huggins,NYA
89,64,1906,Napoleon,Lajoie,CLE
89,65,1911,Hugh Ambrose,Jennings,DET
89,65,1916,Clarence Henry,Rowland,CHA
89,65,1926,Rogers,Hornsby,SLN
89,65,1940,Oscar Joseph,Vitt,CLE
89,65,1944,William Boyd,McKechnie,CIN
89,65,1944,James Luther,Sewell,SLA
89,65,1947,Edwin Hawley,Dyer,SLN
89,65,1949,Louis,Boudreau,CLE
89,65,1950,Burton Edwin,Shotton,BRO
89,65,1953,Paul Rapier,Richards,CHA
89,65,1954,Charles John,Grimm,ML1
89,65,1959,Joseph Lowell,Gordon,CLE
89,65,1960,Paul Rapier,Richards,BAL
89,65,1961,Walter Emmons,Alston,LAN
89,72,1985,Peter Edward,Rose,CIN
89,73,1965,Richard Allan,Sisler,CIN
89,73,1966,Sabath Anthony,Mele,MIN
89,73,1967,Edward Raymond,Stanky,CHA
89,73,1969,James David,Bristol,CIN
89,73,1970,John Francis,McNamara,OAK
89,73,1970,Daniel Edward,Murtaugh,PIT
89,73,1971,Walter Emmons,Alston,LAN
89,73,1974,William Charles,Virdon,NYA
89,73,1978,Joseph Salvatore,Altobelli,SFN
89,73,1979,William Charles,Virdon,HOU
89,73,1980,John Francis,McNamara,CIN
89,73,1982,Joseph Paul,Torre,ATL
89,73,1982,Ralph George,Houk,BOS
89,73,1982,Patrick,Corrales,PHI
89,73,1983,Robert Joe,Cox,TOR
89,73,1984,Robert Joe,Cox,TOR
