nameFirst,nameLast
Jimmy,Jones
Ron,Jones
Ross,Jones
Stacy,Jones
Tim,Jones
Todd,Jones
Tracy,Jones
Brian,Jordan
Kevin,Jordan
Ricky,Jordan
Scott,Jordan
Terry,Jorgensen
Felix,Jose
Wally,Joyner
David,Justice
Jeff,Kaiser
Scott,Kamieniecki
Matt,Karchner
Ron,Karkovice
Eric,Karros
Pat,Kelly
Roberto,Kelly
Jeff,Kent
Charlie,Kerfeld
Keith,Kessinger
Jimmy,Key
Brian,Keyser
Sam,Khalifa
Masao,Kida
Dana,Kiecker
Mark,Kiefer
Steve,Kiefer
John,Kiely
Darryl,Kile
Paul,Kilgus
Eric,King
Jeff,King
Kevin,King
Mike,Kingery
Matt,Kinzer
Bob,Kipper
Wayne,Kirby
Garland,Kiser
Joe,Klink
Joe,Kmak
Brent,Knackert
Chuck,Knoblauch
Randy,Knorr
Kurt,Knudsen
Mark,Knudson
Brian,Koelling
Satoru,Komiyama
Brad,Komminsk
Dae-Sung,Koo
Kevin,Koslofski
Brian,Kowitz
Joe,Kraemer
Randy,Kramer
Tom,Kramer
Jimmy,Kremers
Chad,Kreuter
John,Kruk
Jeff,Kunkel
Randy,Kutcher
Jerry,Kutzler
Masumi,Kuwata
Al,Lachowicz
Mike,Laga
Tim,Laker
Tom,Lampkin
Les,Lancaster
Ced,Landrum
Mark,Langston
Ray,Lankford
Joe,Lansford
Mike,Lansing
Barry,Larkin
Gene,Larkin
Pat,Larkin
Bill,Latham
Mike,LaValliere
Marcus,Lawton
Tim,Layana
Jalal,Leach
Derek,Lee
Manuel,Lee
Mark,Lee
Terry,Lee
Phil,Leftwich
Greg,Legg
Dave,Leiper
John,Leister
Al,Leiter
Mark,Leiter
Scott,Leius
Mark,Lemke
Pat,Lennon
Danny,Leon
Mark,Leonard
Curt,Leskanic
Al,Levine
Jesse,Levis
Darren,Lewis
Jim,Lewis
Mark,Lewis
Richie,Lewis
Scott,Lewis
Jim,Leyritz
John,Lickert
Dave,Liddell
Derek,Lilliquist
Jose,Lind
Jim,Lindeman
Bill,Lindsey
Doug,Lindsey
Doug,Linton
Nelson,Liriano
Pat,Listach
Scott,Little
Greg,Litton
Scott,Livingstone
Graeme,Lloyd
Keith,Lockhart
Kenny,Lofton
Phil,Lombardi
Steve,Lombardozzi
Bill,Long
Tony,Longmire
Brian,Looney
Luis,Lopez
Vance,Lovelace
Torey,Lovullo
Mike,Loynd
Larry,Luebbers
Rick,Luecken
Urbano,Lugo
Rob,Lukachyk
Scott,Lusader
Mitch,Lyden
Scott,Lydy
Barry,Lyons
Steve,Lyons
Kevin,Maas
Bob,Macdonald
Mike,Macfarlane
Julio,Machado
Quinn,Mack
Shane,Mack
Tony,Mack
Lonnie,Maclin
Morris,Madden
Greg,Maddux
Mike,Maddux
Alex,Madrid
Dave,Magadan
Ever,Magallanes
Mike,Magnante
Joe,Magrane
Tom,Magrann
Mike,Maksudian
Candy,Maldonado
Carlos,Maldonado
Rob,Mallicoat
Bob,Malloy
Chuck,Malone
Kelly,Mann
Ramon,Manon
Fred,Manrique
Jeff,Manto
Barry,Manuel
Kirt,Manwaring
Josias,Manzanillo
Ravelo,Manzanillo
Paul,Marak
Isidro,Marquez
Oreste,Marrero
Tom,Marsh
Mike,Marshall
Al,Martin
Norberto,Martin
Carlos,Martinez
Carmelo,Martinez
Chito,Martinez
Dave,Martinez
Domingo,Martinez
Edgar,Martinez
Pablo,Martinez
Pedro,Martinez
Ramon,Martinez
Tino,Martinez
John,Marzano
Damon,Mashore
Dan,Masteller
Victor,Mata
Greg,Mathews
Terry,Mathews
Francisco,Matos
Don,Mattingly
Rob,Maurer
Tim,Mauser
Derrick,May
Scott,May
Brent,Mayne
Matt,Maysey
Jamie,McAndrew
Randy,McCament
Greg,McCarthy
Tom,McCarthy
Dave,McCarty
Kirk,McCaskill
Paul,McClellan
Rodney,McCray
Lance,McCullers
Terry,McDaniel
Ben,McDonald
Jack,McDowell
Oddibe,McDowell
Roger,McDowell
Chuck,McElroy
Kevin,McGehee
Russ,McGinnis
Tom,McGraw
Fred,McGriff
Terry,McGriff
Bill,McGuire
Mark,McGwire
Tim,McIntosh
Joel,McKeon
Jeff,McKnight
Mark,McLemore
Greg,McMichael
Jim,McNamara
Jeff,McNeely
Brian,McRae
Bob,Meacham
Rusty,Meacham
Louie,Meadows
Dave,Meads
Pat,Meares
Luis,Medina
Scott,Medvin
Francisco,Melendez
Jose,Melendez
Bob,Melvin
Tony,Menendez
Paul,Menhart
Orlando,Mercado
Orlando,Merced
Henry,Mercedes
Luis,Mercedes
Kent,Mercker
Brett,Merriman
Matt,Merullo
Jose,Mesa
Hensley,Meulens
Brian,Meyer
Joey,Meyer
Gary,Mielke
Matt,Mieske
Bob,Milacki
Mike,Milchin
Dave,Miley
Sam,Militello
Damian,Miller
Keith,Miller
Keith,Miller
Lemmie,Miller
Orlando,Miller
Paul,Miller
Joe,Millette
Randy,Milligan
Alan,Mills
Mike,Mimbs
Nate,Minchey
Blas,Minor
Steve,Mintz
Gino,Minutelli
Angel,Miranda
Mike,Misuraca
Charlie,Mitchell
John,Mitchell
Keith,Mitchell
Kevin,Mitchell
John,Mizerock
Dave,Mlicki
Kevin,Mmahat
Dennis,Moeller
Mike,Mohler
Rafael,Montalvo
Rich,Monteleone
Jeff,Montgomery
Ray,Montgomery
Charlie,Montoyo
Bill,Mooneyham
Bill,Moore
Bobby,Moore
Brad,Moore
Mickey,Morandini
Mike,Mordecai
Kevin,Morgan
Alvin,Morman
Russ,Morman
Hal,Morris
Jim,Morris
John,Morris
Kevin,Morton
Andy,Mota
Jose,Mota
Darryl,Motley
James,Mouton
Lyle,Mouton
Jamie,Moyer
Terry,Mulholland
Bobby,Munoz
Jose,Munoz
Mike,Munoz
Noe,Munoz
Oscar,Munoz
Pedro,Munoz
Dan,Murphy
Rob,Murphy
Jeff,Musselman
Mike,Mussina
Jeff,Mutis
Greg,Myers
Jimmy,Myers
Mike,Myers
Randy,Myers
Rodney,Myers
Chris,Nabholz
Tim,Naehring
Charles,Nagy
Rob,Natal
Jaime,Navarro
Denny,Neagle
Troy,Neel
Jim,Neidlinger
Gene,Nelson
Jeff,Nelson
Rob,Nelson
Robb,Nen
Tom,Newell
Al,Newman
Alan,Newman
Warren,Newson
Carl,Nichols
Rod,Nichols
Chris,Nichting
David,Nied
Jerry,Nielsen
Tom,Nieto
Juan,Nieves
Dave,Nilsson
Donell,Nixon
Junior,Noboa
Matt,Nokes
Eric,Nolte
Hideo,Nomo
Takahito,Nomura
Les,Norman
Randy,Nosek
Rafael,Novoa
Ed,Nunez
Jose,Nunez
Charlie,O'Brien
John,O'Donoghue
Greg,O'Halloran
Troy,O'Leary
Tom,O'Malley
Randy,O'Neal
Paul,O'Neill
Bryan,Oelkers
Jose,Offerman
Kirt,Ojala
Jim,Olander
John,Olerud
Steve,Olin
Omar,Olivares
Joe,Oliver
Francisco,Oliveras
Greg,Olson
Gregg,Olson
Steve,Ontiveros
Jose,Oquendo
Mike,Oquist
Joe,Orsulak
Hector,Ortiz
Javier,Ortiz
John,Orton
Donovan,Osborne
Keith,Osik
Al,Osuna
Dave,Otto
Phil,Ouellette
Spike,Owen
Jayhawk,Owens
Pat,Pacillo
Jim,Paciorek
Mike,Pagliarulo
Tom,Pagnozzi
Lance,Painter
Rey,Palacios
Vicente,Palacios
Donn,Pall
Orlando,Palmeiro
Rafael,Palmeiro
Dean,Palmer
Erik,Pappas
Craig,Paquette
Al,Pardo
Johnny,Paredes
Mark,Parent
Clay,Parker
Rick,Parker
Derek,Parks
Jeff,Parrett
Steve,Parris
Dan,Pasqua
Jeff,Patterson
John,Patterson
Ken,Patterson
Dave,Pavlas
Roger,Pavlik
John,Pawlowski
Mike,Payne
Bill,Pecota
Stu,Pederson
Jorge,Pedre
Al,Pedrique
Julio,Peguero
Steve,Pegues
Dan,Peltier
Rudy,Pemberton
Geronimo,Pena
Hipolito,Pena
Jim,Pena
Ramon,Pena
Terry,Pendleton
Shannon,Penn
Brad,Pennington
Will,Pennyfeather
Oswaldo,Peraza
Troy,Percival
Eddie,Perez
Eduardo,Perez
Melido,Perez
Mike,Perez
Robert,Perez
Yorkis,Perez
Tony,Perezchica
Gerald,Perry
Herbert,Perry
Robert,Person
Jeff,Peterek
Steve,Peters
Adam,Peterson
Mark,Petkovsek
Marty,Pevey
Steve,Phoenix
Doug,Piatt
Mike,Piazza
Hipolito,Pichardo
Jeff,Pico
Ed,Pierce
Jeff,Pierce
Chris,Pittaro
Erik,Plantenberg
Phil,Plantier
Dan,Plesac
Eric,Plunk
Jeff,Plympton
Gus,Polidor
Dale,Polley
Luis,Polonia
Jim,Poole
Mark,Portugal
Scott,Pose
Alonzo,Powell
Dennis,Powell
Ross,Powell
Todd,Pratt
Jim,Presley
Bryan,Price
Curtis,Pride
Ariel,Prieto
Tom,Prince
Kirby,Puckett
Tim,Pugh
Harvey,Pulliam
Eddie,Pye
Tim,Pyznarski
Paul,Quantrill
Tom,Quinlan
Luis,Quinones
Rey,Quinones
Carlos,Quintana
Rafael,Quirico
Brian,Raabe
John,Rabb
Mike,Raczka
Scott,Radinsky
John,Ramos
Ken,Ramos
Fernando,Ramsey
Mike,Ramsey
Joe,Randa
Sap,Randall
Jeff,Ransom
Pat,Rapp
Randy,Ready
Jeff,Reboulet
Joe,Redfield
Darren,Reed
Jeff,Reed
Jody,Reed
Rick,Reed
Steve,Reed
Jessie,Reid
Kevin,Reimer
Mike,Remlinger
Laddie,Renfroe
Rich,Renteria
Todd,Revenig
Carlos,Reyes
Gil,Reyes
Harold,Reynolds
Shane,Reynolds
Armando,Reynoso
Arthur,Rhodes
Tuffy,Rhodes
Chuck,Ricci
Pat,Rice
Rusty,Richards
Jeff,Richardson
Jeff,Richardson
Rob,Richie
Nikco,Riesgo
Ron,Rightnowar
Jose,Rijo
Ernie,Riles
Billy,Ripken
Cal,Ripken
Bill,Risley
Wally,Ritchie
Reggie,Ritter
Kevin,Ritz
Ben,Rivera
German,Rivera
Luis,Rivera
Mariano,Rivera
Roberto,Rivera
Kevin,Roberson
Bip,Roberts
Rich,Robertson
Billy Jo,Robidoux
Jeff,Robinson
Jeff,Robinson
Ken,Robinson
Ron,Robinson
Mike,Rochford
Carlos,Rodriguez
Edwin,Rodriguez
Henry,Rodriguez
Rich,Rodriguez
